s-werelds-slechtste,‘s Werelds slechtste
1-2-3,1-2-3
3-headed-musical-star,3-Headed Musical Star
30-jaar-getrouwd,30 Jaar Getrouwd
abc-game,ABC-game
ace,ACE
achterlijke-modeaccesoires,Achterlijke modeaccesoires
adoptie,Adoptie
advertentie,Advertentie
amazing-discovery,Amazing Discovery
anna-maria-koekoek,Anna Maria Koekoek
apenkooien,Apenkooien
associeren,Associëren
bak-des-doods,Bak des doods
ballade,Ballade
ballet,Ballet
bankje,Bankje
bard,Bard
bedrijfsdeur,Bedrijfsdeur
beste-manier-om,Beste manier om…
big-apple,Big Apple
billy-billy-bop,Billy Billy Bop
binnentaal,Binnentaal
binnenwereld,Binnenwereld
blues,Blues
blof-of-boeijen,BLØF of Boeijen
boek-film-musical,Boek Film Musical
boris,Boris
brief,Brief
briefjesgame,Briefjesgame
britse-opening,Britse opening
bureaucratie,Bureaucratie
categorienspel,Categoriënspel
characters,Characters
choreograaf,Choreograaf
christmas-carol,Christmas Carol
climax,Climax
cluedo,Cluedo
confrontatie,Confrontatie
cranberrie-plus,Cranberrie Plus
dans-op-poezie,Dans op poëzie
datingshow,Datingshow
day-after,Day after
de-appelboom,De Appelboom
de-laatste-minuut-van,De laatste minuut van…
de-pannenkoek,De Pannenkoek
detective-film-noir,Detective (film noir)
diapresentatie,Diapresentatie
diefje,Diefje
dierenarts,Dierenarts
dit-is-een-lied,Dit is een lied
dood-of-verliefd,Dood of Verliefd
dood-op-de-lijn,Dood op de lijn
doorgedraaid,Doorgedraaid
doventolk,Doventolk
draaideur,Draaideur
drie-in-de-pan,Drie in de pan
drie-in-de-pan-cumulatief,Drie in de pan cumulatief
drie-in-de-pan-plus,Drie in de pan plus
droom,Droom
druppel,Druppel
dubbel,Dubbel
dubbele-dub,Dubbele dub
dubben,Dubben
duolala,Duolala
dynamisch-driehoek,Dynamisch driehoek
een-plaat-en-zijn-verhaal,Een plaat en zijn verhaal
een-woordspel,Eén-woordspel
eindscene,Eindscene
elementen,Elementen
emotioneel-viervlak,Emotioneel viervlak
emotionele-achtbaan,Emotionele achtbaan
emotionele-party,Emotionele party
en-nu,En nu?
etymologisch-woordenboek,Etymologisch woordenboek
evenwichtsplateau,Evenwichtsplateau
family-freeze,Family freeze
fokke-en-sukke,Fokke en Sukke
franse-chanson,Franse chanson
franse-opening,Franse opening
free-impro,Free impro
free-impro-met-wissel,Free impro met wissel
freeze,Freeze
freeze-tag,Freeze tag
fruit-of-iets-anders-doorgeven,Fruit (of iets anders) doorgeven
fruitmandje,Fruitmandje
fuga,Fuga
gameflux,Gameflux
gast,Gast
gedicht,Gedicht
gehandicapt-viervlak,Gehandicapt viervlak
geluid-en-beweging,Geluid en beweging
geraniums-en-spruitjes,Geraniums en spruitjes
gestold-frituurvet,Gestold frituurvet
gevaarlijk-gebied,Gevaarlijk gebied
geweten,Geweten
gezichten-overgooien,Gezichten overgooien
goddelijke-interventie,Goddelijke Interventie
gordiaanse-knoop,Gordiaanse knoop
guilty-pleasure,Guilty Pleasure
haal-uit-het-publiek,Haal uit het publiek…
hallmark,Hallmark
handen-door,Handen door
handje-pandje,Handje pandje
heen-en-weer,Heen en weer
held,Held
herinnering,Herinnering
het-spijt-me,Het spijt me
hoe-het-ook-had-kunnen-zijn,Hoe het ook had kunnen zijn
hoedjesgame,Hoedjesgame
hogedrukpan,Hogedrukpan
hoogste-status,Hoogste status
hou-het-gevoel-vast,Hou het gevoel vast
hugo,Hugo
hyperlink,Hyperlink
ice-age,Ice Age
idols,Idols
iers-drinklied,Iers drinklied
iets-anders,Iets anders
inside-out,Inside Out
interview,Interview
interview-achteruit,Interview achteruit
intieme-hel,Intieme hel
irish-drinking-song,Irish drinking song
jabber-opera-met-vertaling,Jabber opera met vertaling
jabber-scene-met-vertaling,Jabber scène met vertaling
james-bond,James Bond
japanse-tuin,Japanse tuin
jargon,Jargon
je-gaat-toch-niet-zingen-he,Je gaat toch niet zingen hè?
kinderen-voor-kinderen,Kinderen voor kinderen
kinderverhaal,Kinderverhaal
klachtenbureau,Klachtenbureau
klap-doorgeven,Klap of woesh doorgeven
klein-stemmetje,Klein stemmetje
klucht,Klucht
koester-de-stilte-omarm-het-woord,Koester de Stilte, Omarm het Woord
lach-uit,Lach uit
levend-galgje,Levend galgje
levenslied,Levenslied
licht-uitval,Licht-uitval
lifter,Lifter
locke,Locke
loop,Loop
lopen,Lopen
maak-me-gek,Maak me gek
machine,Machine
madrigaal,Madrigaal
mafia,Mafia
mantra,Mantra
marktplaats,Marktplaats
massage,Massage
matthias-haupt-spiel,Matthias Haupt Spiel
matthijs-kop-game,Matthijs Kop Game
melodrama,Melodrama
metropool,Metropool
mijn-hoed-die-had-drie-hoeken,Mijn hoed die had drie hoeken
mixed-grill,Mixed grill
moord,Moord
movie-mashup,Movie Mashup
movie-remake,Movie Remake
mp3,MP3
mtv-clip,MTV-clip
multi-game,Multi-game
multiple-personality-game,Multiple personality game
musical,Musical
musical-awards,Musical Awards
muzikale-drie-in-de-pan,Muzikale drie in de pan
muzikale-machine,Muzikale machine
nederlandse-lied,Nederlandse lied
niets,Niets
nijntje,Nijntje
om-en-om,Om en om
ondertiteling,Ondertiteling
one-word-game,One word game
ontmoeting,Ontmoeting
op-en-af,Op en af
op-goed-geluk,Op goed geluk
opera,Opera
opzetten-afmaken,Opzetten, afmaken
orakel,Orakel
oscaruitreiking,Oscaruitreiking
parelsnoer,Parelsnoer
pavlov,Pavlov
perfectie,Perfectie
persconferentie,Persconferentie
perspectief,Perspectief
plankje,Plankje
playback,Playback
playbackopera,Playbackopera
pleidooi,Pleidooi
poezie-cafe,Poëzie café
politiek-perspectief,Politiek perspectief
post-modernistisch-jazz-aerobics-poezie-cafe,Post-modernistisch-jazz-aerobics-poezie-cafe
prentenboek,Prentenboek
professor,Professor
questions-only,Questions only
raadspacejump,Raadspacejump
rap,Rap
rechtbank,Rechtbank
rekken-en-strekken,Rekken en strekken
remembrance,Remembrance
replay,Replay
reportage,Reportage
reporter,Reporter
rijdende-rechter,Rijdende rechter
rijmgame,Rijmgame
robinson-crusoe-eiland,Robinson Crusoe Eiland
saloon,Saloon
scene-achteruit,Scène achteruit
scene-met-en-zonder,Scène met en zonder
scene-uit-een-sprookje,Scene uit een sprookje
schilder,Schilder
schoen-veroveren,Schoen veroveren
set-up,Set-Up
shift,Shift
shift-2,Shift
slap,Slap
slechtste-manier-om,Slechtste manier om …
smartlap,Smartlap
soap,Soap
sonar,Sonar
souffleur,Souffleur
soundeffect,Soundeffect
spacejump,Spacejump
specialist,Specialist
spel-met-de-verboden-letter,Spel met de verboden letter
spelhel,Spelhel
spiegeltje-spiegeltje,Spiegeltje spiegeltje
split-screen,Split screen
sprookje-bestaand-in-60-30-10,Sprookje (bestaand) in 60 – 30 – 10
sprookjesmix,Sprookjesmix
staan-buigen-zitten,Staan-buigen-zitten
stand-in,Stand-in
stoelen,Stoelen
stomme-film,Stomme film
stopcontact,Stopcontact
strip,Strip
stunt,Stunt
supercluedo,Supercluedo
superdub,Superdub
superhelden,Superhelden
switch-replace,Switch &amp; Replace
tableau-vivant,Tableau vivant
tellen,Tellen
theater-van-de-mensen,Theater van de … mensen
tien-manieren-om,Tien manieren om …
tijd-voor-een-liedje,Tijd voor een liedje
toeter-en-bel,Toeter en bel
tolk,Tolk
tooth-decay,Tooth Decay
total-improv,Total Improv
totinos-touch,Totino’s Touch
toverstafje,Toverstafje
triangel,Triangel
tussen-de-muur,Tussen de Muur
twee-pilaren,Twee pilaren
two-line-vocabulary,Two line vocabulary
typewriter,Typewriter
ulteame-hel,Ulteame hel
van-binnen-verven,Van binnen verven
verdachte,Verdachte
verhaal-op-rij,Verhaal op rij
verhalenverteller,Verhalenverteller
verjaardagsfeest,Verjaardagsfeest
verloren-vrienden,Verloren vrienden
verslaggever,Verslaggever
vijfde-wiel-aan-de-relatie,Vijfde Wiel aan de Relatie
visualiseren,Visualiseren
vlam-in-de-pan,Vlam in de pan
voorwerp-doorgeven,Voorwerp doorgeven
vrije-improvisatie,Vrije improvisatie
wedden-dat,Wedden dat…?
wereldkampioenschap,Wereldkampioenschap
wereldvisiesongfestival,Wereldvisiesongfestival
wichelroede,Wichelroede
wisselweg,Wisselweg
zappen,Zappen
zei-hij-terwijl-hij,Zei hij, terwijl hij…
zelfverzonnen-sprookje,Zelfverzonnen sprookje
zingen,Zingen
zingend-zinnetje,Zingend zinnetje
zinnetje,Zinnetje
zitten-staan-liggen-hurken,Zitten staan liggen hurken
zo-stijf-als-een-plank,Zo stijf als een plank
zoekmachine,Zoekmachine
zoveel-mogelijk-scenes-in-een-minuut,Zoveel mogelijk scènes in een minuut
zwarte-bladzijde,Zwarte Bladzijde
